Project_Name,Project_Type,Department,Project_Cost_USD,Project_Benefit_Score,Priority
Project_001,Mobile App,Data Science,16775,7.78,Critical
Project_002,Mobile App,DevOps,31063,7.22,Low
Project_003,Mobile App,DevOps,36947,5.36,Low
Project_004,Cloud Infrastructure,IT Operations,24201,9.29,Medium
Project_005,Mobile App,Data Science,49788,8.13,High
Project_006,Database Migration,IT Operations,34213,9.19,High
Project_007,Mobile App,DevOps,41540,7.81,Critical
Project_008,Database Migration,IT Operations,42858,7.0,High
Project_009,Database Migration,IT Operations,23214,6.04,High
Project_010,Web App,Data Science,38561,9.64,Medium
Project_011,Database Migration,Software Engineering,28390,9.39,High
Project_012,Mobile App,DevOps,24537,7.39,Low
Project_013,AI/ML Service,Data Science,18239,7.5,Low
Project_014,Mobile App,Data Science,20624,9.31,Low
Project_015,AI/ML Service,Data Science,15441,5.94,Low
Project_016,Cloud Infrastructure,Software Engineering,36423,5.63,Low
Project_017,AI/ML Service,DevOps,23200,9.06,Medium
Project_018,Web App,Data Science,34306,5.28,Low
Project_019,Web App,Software Engineering,25353,7.01,Critical
Project_020,AI/ML Service,Software Engineering,39382,7.57,High
Project_021,Cloud Infrastructure,Data Science,6247,5.61,High
Project_022,Mobile App,IT Operations,48143,6.34,Low
Project_023,Mobile App,DevOps,47748,6.35,High
Project_024,AI/ML Service,Data Science,42320,5.39,Medium
Project_025,Mobile App,Data Science,36239,8.02,Low
Project_026,AI/ML Service,DevOps,40151,7.52,Critical
Project_027,AI/ML Service,Software Engineering,20591,6.11,High
Project_028,Database Migration,Software Engineering,45093,6.75,Low
Project_029,Database Migration,IT Operations,23028,5.67,High
Project_030,Mobile App,DevOps,14735,9.17,Medium
Project_031,AI/ML Service,IT Operations,37690,6.52,Low
Project_032,Web App,DevOps,37906,5.93,Critical
Project_033,AI/ML Service,DevOps,9695,8.33,Medium
Project_034,Mobile App,IT Operations,30502,9.59,Medium
Project_035,Database Migration,Software Engineering,20043,8.94,Low
Project_036,Database Migration,IT Operations,11506,7.86,High
Project_037,Mobile App,DevOps,29045,7.46,Critical
Project_038,Mobile App,Data Science,46324,7.91,High
Project_039,Cloud Infrastructure,Data Science,17157,7.41,Critical
Project_040,Web App,Software Engineering,39806,9.49,Critical
Project_041,Cloud Infrastructure,DevOps,7085,9.1,Low
Project_042,Cloud Infrastructure,DevOps,9855,9.58,Critical
Project_043,Cloud Infrastructure,Data Science,26237,6.11,Critical
Project_044,AI/ML Service,Data Science,24890,5.8,Critical
Project_045,Database Migration,IT Operations,22282,7.05,High
Project_046,Mobile App,IT Operations,30580,8.58,High
Project_047,Database Migration,Software Engineering,6756,7.75,High
Project_048,Web App,IT Operations,12016,8.96,High
Project_049,Database Migration,Software Engineering,18629,8.15,High
Project_050,Mobile App,DevOps,42356,5.05,Critical
Project_051,Cloud Infrastructure,Software Engineering,33872,9.75,High
Project_052,Database Migration,Data Science,46452,7.37,Low
Project_053,AI/ML Service,Data Science,47186,7.84,Low
