Record_ID,Project_Type,Task_Category,Complexity,Required_Skill,Estimated_Duration_Days,Actual_Duration_Days,Workload_Ratio,Dependency_Count,Is_Delayed,Risk_Level,Record_Type
REC_0001,Web App,Database,High,Redis,5.4,8.2,1.37,0,1,High,synthetic
REC_0002,Mobile App,Database,High,FastAPI,5.0,7.2,1.27,0,1,High,synthetic
REC_0003,Cloud Infrastructure,API Integration,Medium,Redis,3.2,4.1,1.3,2,1,Medium,synthetic
REC_0004,Database Migration,Deployment,High,SQLite,5.1,4.7,1.08,3,0,Low,synthetic
REC_0005,Cloud Infrastructure,Testing/QA,Medium,Django,3.0,2.7,0.72,3,0,Low,synthetic
REC_0006,Cloud Infrastructure,Database,Medium,Cypress,3.3,2.9,0.92,0,0,Low,synthetic
REC_0007,Database Migration,AI Model,Medium,Vue,3.2,4.4,1.2,0,1,Medium,synthetic
REC_0008,Mobile App,Deployment,High,Python,5.4,5.4,0.67,2,0,Low,synthetic
REC_0009,AI/ML Service,Testing/QA,High,Kubernetes,4.9,6.4,1.15,2,1,Medium,synthetic
REC_0010,AI/ML Service,AI Model,Medium,Kubernetes,3.4,5.5,0.79,0,1,High,synthetic
REC_0011,Database Migration,Testing/QA,Medium,FastAPI,3.2,2.8,1.03,2,0,Low,synthetic
REC_0012,AI/ML Service,Backend,Medium,PyTorch,3.0,4.4,1.11,1,1,Medium,synthetic
REC_0013,Cloud Infrastructure,API Integration,Medium,MongoDB,3.6,4.7,1.04,2,1,Medium,synthetic
REC_0014,Mobile App,Frontend,Low,Vue,1.5,1.8,1.22,0,1,Medium,synthetic
REC_0015,Mobile App,Database,Medium,GraphQL,2.8,2.4,0.87,0,0,Low,synthetic
REC_0016,AI/ML Service,Frontend,Low,FastAPI,1.4,1.2,1.11,0,0,Low,synthetic
REC_0017,Cloud Infrastructure,AI Model,Low,Cypress,1.7,1.4,0.94,0,0,Low,synthetic
REC_0018,Web App,Backend,Medium,Vue,3.1,3.0,1.12,1,0,Low,synthetic
REC_0019,Web App,Testing/QA,Low,Redis,1.4,1.2,1.0,4,0,Low,synthetic
REC_0020,Cloud Infrastructure,AI Model,Medium,GitHub Actions,3.0,4.5,1.31,0,1,Medium,synthetic
REC_0021,AI/ML Service,Testing/QA,Medium,GraphQL,3.2,3.3,0.89,2,0,Low,synthetic
REC_0022,Cloud Infrastructure,Deployment,High,AWS,5.3,5.0,0.78,2,0,Low,synthetic
REC_0023,Cloud Infrastructure,Frontend,Medium,Jest,2.9,2.5,1.16,0,0,Low,synthetic
